Vendor,Date,Net Total,RIP Total Amt
ORIGLIO BEVERAGE,06-01-2018,10154.59,0.00
GRETZ BEER CO,06-01-2018,465.00,0.00
GRETZ BEER CO,06-01-2018,321.00,0.00
GRETZ BEER CO,06-01-2018,5584.00,0.00
LAMB,06-01-2018,250.00,0.00
MULLER INC,06-01-2018,4059.10,0.00
THE ICE BUTLER,06-04-2018,122.20,0.00
THE ICE BUTLER,06-04-2018,305.50,0.00
THE ICE BUTLER,06-04-2018,203.50,0.00
MULLER INC,06-05-2018,2189.25,0.00
ORIGLIO BEVERAGE,06-05-2018,7491.05,0.00
GILS WHOLESALE DIST,06-06-2018,775.12,0.00
PEPSI BEV CO,06-06-2018,135.00,0.00
COCA-COLA REFRESHMENT,06-06-2018,206.70,0.00
THE ICE BUTLER,06-07-2018,45.45,0.00
GRETZ BEER CO,06-08-2018,2195.75,0.00
GRETZ BEER CO,06-08-2018,1613.20,0.00
MULLER INC,06-08-2018,7123.50,0.00
ORIGLIO BEVERAGE,06-08-2018,3395.90,0.00
ORIGLIO BEVERAGE,06-08-2018,2083.20,0.00
THE ICE BUTLER,06-12-2018,522.45,0.00
THE ICE BUTLER,06-12-2018,196.10,0.00
THE ICE BUTLER,06-12-2018,103.60,0.00
MULLER INC,06-12-2018,2100.50,0.00
GRETZ BEER CO,06-12-2018,6266.20,0.00
ORIGLIO BEVERAGE,06-12-2018,290.00,0.00
ORIGLIO BEVERAGE,06-12-2018,5888.85,0.00
GILS WHOLESALE DIST,06-13-2018,831.25,0.00
31 AND WHARTON,06-13-2018,905.34,0.00
SHANGYS,06-13-2018,321.80,0.00
THE ICE BUTLER,06-13-2018,106.75,0.00
STOCKERTOWN BEV,06-13-2018,1143.00,0.00
MULLER INC,06-15-2018,5683.00,0.00
GRETZ BEER CO,06-15-2018,3227.25,0.00
ORIGLIO BEVERAGE,06-15-2018,3708.55,0.00
LAMB,06-15-2018,105.00,0.00
MANAYUNK BREWING CO,06-15-2018,66.00,0.00
THE ICE BUTLER,06-16-2018,243.65,0.00
THE ICE BUTLER,06-16-2018,199.80,0.00
GRETZ BEER CO,06-16-2018,137.30,0.00
MULLER INC,06-18-2018,4662.20,0.00
GRETZ BEER CO,06-18-2018,1126.20,0.00
GRETZ BEER CO,06-19-2018,2291.10,0.00
ORIGLIO BEVERAGE,06-19-2018,5877.79,0.00
31 AND WHARTON,06-20-2018,368.80,0.00
PEPSI BEV CO,06-20-2018,182.00,0.00
THE ICE BUTLER,06-21-2018,329.80,0.00
ORIGLIO BEVERAGE,06-22-2018,1510.80,0.00
ORIGLIO BEVERAGE,06-22-2018,5674.70,0.00
MULLER INC,06-22-2018,3597.55,0.00
GRETZ BEER CO,06-23-2018,7396.05,0.00
THE ICE BUTLER,06-24-2018,164.65,0.00
THE ICE BUTLER,06-24-2018,139.00,0.00
MULLER INC,06-26-2018,4332.60,0.00
ORIGLIO BEVERAGE,06-26-2018,4661.00,0.00
GILS WHOLESALE DIST,06-27-2018,864.86,0.00
NEVULIS BEV,06-27-2018,374.00,0.00
31 AND WHARTON,06-27-2018,627.90,0.00
ORIGLIO BEVERAGE,06-27-2018,2047.50,0.00
STOCKERTOWN BEV,06-27-2018,417.00,0.00
COCA-COLA REFRESHMENT,06-28-2018,220.62,0.00
THE ICE BUTLER,06-28-2018,209.30,0.00
GRETZ BEER CO,06-29-2018,940.80,0.00
MULLER INC,06-29-2018,2287.85,0.00
ORIGLIO BEVERAGE,06-29-2018,4533.80,0.00
GRETZ BEER CO,06-29-2018,6676.80,0.00
ORIGLIO BEVERAGE,06-30-2018,282.00,0.00
LAMB,06-30-2018,87.50,0.00
,Total,$142649.57,$0.00
