Name,Item Sold,% of Items,Net Amt,% of Sales,Cost Amt,Profit Amt,Mark Up(%),Gross Profit (%)
CLOTHING/WEARABLES,,,,,,,
1/4 ZIP HEART SLSD CTCANDY MD,1,1.59%,30.99,2.34%,14.00,16.99,121.36%,54.82%
5x7 Mexican Blanket,1,1.59%,13.99,1.06%,0.00,13.99,100.00%,100.00%
ARCH RUN DOWN AERIAL MD,1,1.59%,33.99,2.57%,16.20,17.79,109.81%,52.34%
ARCH RUN DOWN AERIAL XL,1,1.59%,33.99,2.57%,16.20,17.79,109.81%,52.34%
ARCH RUN DOWN LG,1,1.59%,33.99,2.57%,16.20,17.79,109.81%,52.34%
ARCH RUN DOWN MINT SM,1,1.59%,28.99,2.19%,13.45,15.54,115.54%,53.60%
ARCH THAT GREEN 2XL,1,1.59%,32.99,2.50%,15.95,17.04,106.83%,51.65%
ARCH THAT GREEN XL,-1,-1.59%,-29.99,-2.27%,-14.45,-15.54,107.54%,51.82%
CARRIE V PERI SM,1,1.59%,23.99,1.81%,0.00,23.99,100.00%,100.00%
CUT OUT CORK FOOTBED FLAT SANDALS,1,1.59%,14.99,1.13%,4.95,10.04,202.83%,66.98%
DESIGNATED TEE ORANGE MD,1,1.59%,15.99,1.21%,6.70,9.29,138.66%,58.10%
HALO PERI HOOD XL,1,1.59%,19.99,1.51%,0.00,19.99,100.00%,100.00%
HAT TRUCK CONTENDER GREY,1,1.59%,22.99,1.74%,11.50,11.49,99.91%,49.98%
HAT TRUCK CONVOY KELLY/DENIM,1,1.59%,22.99,1.74%,11.50,11.49,99.91%,49.98%
HAT TRUCK ROYAL/GRAY,1,1.59%,22.99,1.74%,0.00,22.99,100.00%,100.00%
HYDROFORCE LG,1,1.59%,17.99,1.36%,0.00,17.99,100.00%,100.00%
IDENITY CORD BR,1,1.59%,3.49,0.26%,0.00,3.49,100.00%,100.00%
IN BOUND BLUE MD,1,1.59%,22.99,1.74%,11.20,11.79,105.27%,51.28%
JAMES TRI HEATHER TEE BLACK XL,1,1.59%,14.99,1.13%,6.25,8.74,139.84%,58.31%
KC MALHAN ASSORTED 2 POCKET BAG,1,1.59%,19.99,1.51%,7.50,12.49,166.53%,62.48%
LADIES LOTUS FTBED SANDALS,2,3.17%,27.98,2.12%,11.90,16.08,135.13%,57.47%
LEGACY SIGN THIS WAY TO THE DUNES,1,1.59%,11.99,0.91%,6.35,5.64,88.82%,47.04%
MENS CROSS TOP SANDAL,1,1.59%,13.99,1.06%,5.95,8.04,135.13%,57.47%
MERICA TOWEL,1,1.59%,15.99,1.21%,8.00,7.99,99.88%,49.97%
OCTAGON TEE BLUE LG,1,1.59%,14.99,1.13%,6.20,8.79,141.77%,58.64%
OCTAGON TEE ICE 2XL,1,1.59%,16.99,1.29%,7.20,9.79,135.97%,57.62%
OCTAGON TEE ICE MD,1,1.59%,14.99,1.13%,6.20,8.79,141.77%,58.64%
OCTAGON TEE ICE SM,1,1.59%,14.99,1.13%,6.20,8.79,141.77%,58.64%
OCTAGON TEE ICE XL,1,1.59%,14.99,1.13%,6.20,8.79,141.77%,58.64%
OCTAGON TEE ORANGE SM,1,1.59%,14.99,1.13%,6.20,8.79,141.77%,58.64%
OVAL OFFICE LS NAVY LG,1,1.59%,17.99,1.36%,7.95,10.04,126.29%,55.81%
PACIFIC EDGE,1,1.59%,12.99,0.98%,0.00,12.99,100.00%,100.00%
PERFOMANCE L/S BLUE SM,1,1.59%,12.99,0.98%,0.00,12.99,100.00%,100.00%
PRO WEAVE HOOD STITCHED MAIZE LG,1,1.59%,42.99,3.25%,20.99,22.00,104.81%,51.17%
PROMISED BLACK LG,1,1.59%,38.99,2.95%,18.70,20.29,108.50%,52.04%
PROMISED ROYAL LG,1,1.59%,38.99,2.95%,18.70,20.29,108.50%,52.04%
PROMSED DENIM MD,1,1.59%,38.99,2.95%,18.70,20.29,108.50%,52.04%
RETRO HEATHER HOOD NAVY LG,1,1.59%,22.99,1.74%,10.00,12.99,129.90%,56.50%
RETRO HEATHER HOOD PINE XXL,1,1.59%,25.99,1.97%,12.00,13.99,116.58%,53.83%
RETRO HEATHER T RED LG,1,1.59%,12.99,0.98%,4.25,8.74,205.65%,67.28%
RETRO HEATHER T RED XL,1,1.59%,12.99,0.98%,4.25,8.74,205.65%,67.28%
RETRO HEATHER T ROYAL LG,1,1.59%,12.99,0.98%,4.25,8.74,205.65%,67.28%
