Store Name: Pantry 1 Colonia
Store Address: 440 Lake Ave
Store Phone: 7323814766
Category,Item,QOH,Cost Value,Total Cost Value,Retail Value,Total Retail Value
DRINKS,,,,
DRINKS,BRISK STRAW-LEMON DRINK-1,1,2.50,2.50,3.49,3.49
DRINKS,SLIM JIMMONSTER-ZESTY GAR,14,1.31,18.34,2.49,34.86
DRINKS,GRAPE CRUSH LICORICE 5OZ/,4,1.01,4.04,1.79,7.16
DRINKS,Nesquik Choc Milk 16 oz,222,1.25,277.50,2.29,508.38
DRINKS,EXTRA DD ROOT BEER FLOAT,2,0.71,1.42,1.79,3.58
DRINKS,DIET MTN DEW-STRAW MELLON,9,1.00,9.00,1.59,14.31
DRINKS,OCEANSPRAY CRANBERY 46 OZ,1,2.00,2.00,3.99,3.99
DRINKS,NesQuik Straw Milk 16oz,65,1.29,83.85,2.29,148.85
,Total,318,,$398.65,,$724.62
DUMMY,,,,
DUMMY,ACID GREEN .99,20,0.00,0.00,0.99,19.80
DUMMY,ACID BLUE .99,17,0.00,0.00,0.99,16.83
,Total,37,,$0,,$36.63
E-CIGARETTE,,,,
E-CIGARETTE,LOGIC 1 PACK MENTHOL 12CT,13,0.00,0.00,9.99,129.87
,Total,13,,$0,,$129.87
General,,,,
General,ADVIL TABLETS 50/BOX 2CT,50,0.22,11.00,0.99,49.50
General,WRIG EXTRA DELIGHT CINN R,9,0.72,6.48,1.49,13.41
General,BG HOT JALAPENO SLICE,7,1.88,13.16,2.99,20.93
General,ZEN KING WHT.CIG.TUBE 5/2,135,1.83,247.05,3.99,538.65
General,LS GUMMIES MIXOREDS SOURS,3,1.04,3.12,1.89,5.67
General,SIMPLY LEMO/ RASP- 100 %,1,1.23,1.23,1.99,1.99
General,GAME CIGARILLOS MINI   -O,26,0.76,19.76,0.99,25.74
General,KASHI GO LEAN OATMEAL RAI,14,1.13,15.82,1.79,25.06
General,SWISHER SWEET ESSENCE,6,3.50,21.00,5.99,35.94
General,CAMEL MENTH-$ 2.50 OFF,2,7.99,15.98,8.16,16.32
General,WHITW OWL CIG BLUE-2 FOR,30,0.70,21.00,0.99,29.70
General,HEFTY 18 KTCH BGS 13 GL,30,2.84,85.20,4.49,134.70
General,SCOTCH- BRITE -SCOUR PAD,9,1.50,13.50,2.99,26.91
General,SLIM JIM BEEF STEAK ORG,5,1.37,6.85,2.29,11.45
General,HIGHLIGHTERS-4,1,1.00,1.00,2.99,2.99
General,TIC TAC GUM WATERMLN 12CT,4,0.79,3.16,1.59,6.36
General,OS CRAN  POME LIGHT  - 6,1,2.00,2.00,3.99,3.99
