Store Name: NY STORE
Store Address: 123 W Street
Store Phone: 6098881234

Vendor,Date,Net Total,RIP Total Amt
General Vendor,09-04-2018,14000.00,0.00
General Vendor,09-04-2018,14000.04,0.00
General Vendor,09-04-2018,14000.00,0.00
General Vendor,09-04-2018,13000.00,0.00
General Vendor,09-05-2018,20000.00,0.00
General Vendor,09-05-2018,1500.00,0.00
General Vendor,09-06-2018,450.00,0.00
General Vendor,09-06-2018,15000.00,0.00
General Vendor,09-07-2018,15000.00,0.00
General Vendor,09-07-2018,15500.00,0.00
General Vendor,09-07-2018,17000.00,0.00
General Vendor,09-07-2018,60000.00,0.00
General Vendor,09-08-2018,23.00,0.00
General Vendor,09-08-2018,62500.00,0.00
General Vendor,09-08-2018,300.00,0.00
General Vendor,09-08-2018,750.00,0.00
General Vendor,09-08-2018,55000.00,0.00
General Vendor,09-08-2018,750.00,0.00
General Vendor,09-08-2018,800.00,0.00
General Vendor,09-08-2018,650.00,0.00
General Vendor,09-08-2018,850.00,0.00
General Vendor,09-08-2018,900.00,0.00
General Vendor,09-08-2018,550.00,0.00
General Vendor,09-08-2018,600.00,0.00
General Vendor,09-08-2018,75.00,0.00
General Vendor,09-08-2018,90.00,0.00
General Vendor,09-10-2018,65750.00,0.00
General Vendor,09-10-2018,7050.00,0.00
General Vendor,09-10-2018,6800.00,0.00
General Vendor,09-10-2018,6000.00,0.00
General Vendor,09-10-2018,36.00,0.00
General Vendor,09-10-2018,26.00,0.00
General Vendor,09-10-2018,26.00,0.00
General Vendor,09-10-2018,50.00,0.00
General Vendor,09-10-2018,34700.00,0.00
General Vendor,09-10-2018,90.00,0.00
General Vendor,09-10-2018,10121.00,0.00
,Total,$453937.04,$0.00
