Store Name: AN ORGANIC CAFE
Store Address: 27 LAFAYETTE ROAD
Store Phone: 9732258999

Item Type,SKU,Item Name,QOH,Selling Price,Unit Per Case,Department,Category,Size
Standard,1,Bottle Deposit,0,0.00,1,General,General,
Standard,2,Taxable Item,0,0.00,1,General,General,
Standard,3,Non Taxable Item,0,0.00,1,General,General,
Standard,4,Conv. Charge (%),0,0.00,1,General,General,
Standard,5,Conv. Charge ($),0,0.00,1,General,General,
Standard,6,Lottery Redeem,0,0.00,1,General,General,
Standard,8,Instant Lottery,0,0.00,1,General,General,
Standard,9,Credit Payment,0,0.00,1,General,General,
Standard,13,ACCOUNTING,0,0.00,1,General,General,
Standard,14,BACKUP,0,0.00,1,General,General,
Standard,15,REPORTS,0,0.00,1,General,General,
Standard,16,Edit Permission Group,0,0.00,1,General,General,
Standard,17,Store Setting,0,0.00,1,General,General,
Standard,18,Coupon,0,0.00,1,General,General,
Standard,20,Lottery Sales,0,0.00,1,General,General,
Standard,21,Instant Sales,0,0.00,1,General,General,
Standard,22,Lottery Redeem,0,0.00,1,General,General,
Standard,23,Instant Redeem,0,0.00,1,General,General,
Standard,VIJAY,VIJAY,0,2.99,1,General,General,
Standard,853715003046,Organic Hard Candy - Pear &amp; Cinnamon,0,3.49,1,General,General,
Standard,,BIC $18.00 OFF PROMO     ,0,0.00,1,General,General,
Standard,999999194251,$10.00 OFF INVOICE FIVE H,0,0.00,1,General,General,
Standard,999990000162,DELIVERY CHARGE          ,0,0.01,1,General,General,
Standard,999990000179,TELXON ORDER - NO CHARGE ,0,0.00,1,General,General,
Standard,999999510013,FIVE HOUR ENERGY 12BX COM,0,3.49,1,General,General,
Standard,070330622401,BIC FAVORITES            ,0,1.89,50,General,General,
Standard,070330620957,BIC FLICK YOUR BIC       ,0,1.89,50,General,General,
Standard,070330611252,BIC GEOMETRICS           ,0,1.89,50,General,General,
Standard,070330600065,BIC CHILD GUARD          ,0,1.59,50,General,General,
Standard,070330000025,BIC MINI CHILD GUARD     ,0,1.19,50,General,General,
Standard,070330601277,BIC 6 TRAY 30 FREE LCXT6P,0,0.00,1,General,General,
Standard,073100003196,SKOAL POUCHES WINTERGREEN,0,6.81,5,General,General,
Standard,073100004575,SKOAL POUCHES MINT 5CT   ,0,6.81,5,General,General,
Standard,073100001482,SKOAL L/C WINTERGREEN 5CT,0,7.09,5,General,General,
Standard,073100000607,SKOAL L/C STRAIGHT 5CT   ,0,7.09,5,General,General,
Standard,073100005893,SKOAL L/C PEACH 5CT      ,0,7.09,5,General,General,
Standard,073100000881,SKOAL L/C MINT 5 CT      ,0,7.99,5,General,General,
Standard,073100004858,SKOAL L/C CITRUS 5CT     ,0,7.09,5,General,General,
Standard,073100002861,SKOAL L/C CHERRY 5CT     ,0,7.09,5,General,General,
Standard,073100003134,SKOAL L/C BERRY 5CT      ,0,7.09,5,General,General,
Standard,073100004803,SKOAL L/C APPLE BLEND 5CT,0,7.09,5,General,General,
Standard,042100002942,KODIAK WINTER.5CT        ,0,7.09,5,General,General,
Standard,042100005431,GRIZZLY WINTERGREEN POUCH,0,5.12,5,General,General,
Standard,042100000047,GRIZZLY MINT POUCH 5CT   ,0,4.99,5,General,General,
Standard,042100008715,GRIZZLY L/CUT.WINTERGREEN,0,5.39,5,General,General,
Standard,042100009101,GRIZZLY L/CUT MINT 5CT.  ,0,5.89,5,General,General,
Standard,073100000553,COPENHAGEN WINT.POUCH 5CT,0,6.81,5,General,General,
Standard,073100001079,COPENHAGEN REG.5CT       ,0,7.09,5,General,General,
Standard,073100003141,COPENHAGEN POUCHES 5 CT. ,0,6.81,5,General,General,
