Store Name: Xpress Mart Vineland
Store Address: 2778 S Main Road,
Store Phone: 8562051290

Name,Item Sold,% of Items,Net Amt,% of Sales,Cost Amt,Profit Amt,Mark Up(%),Gross Profit (%)
BAKERY,,,,,,,
BON APPETIT CREAM CHEESE CAKE,1,4.55%,1.99,6.77%,1.19,0.80,67.23%,40.20%
BON APPETIT LEMON CAKE,1,4.55%,2.10,7.15%,1.19,0.91,76.47%,43.33%
BON APPETITO PANDE QUESO,1,4.55%,2.10,7.15%,1.19,0.91,76.47%,43.33%
CORN MUFFN,2,9.09%,4.20,14.29%,2.38,1.82,76.47%,43.33%
COSMIC  BROWNIE,1,4.55%,0.50,1.70%,0.38,0.12,31.58%,24.00%
HOS DING DONGS PEANUT BUTTER,1,4.55%,1.89,6.43%,0.00,1.89,100.00%,100.00%
HOSTESS TWINKIES,1,4.55%,1.89,6.43%,1.15,0.74,64.35%,39.15%
HOSTESS ZINGERS,1,4.55%,1.89,6.43%,1.15,0.74,64.35%,39.15%
MINI DONUTS,1,4.55%,1.00,3.40%,0.80,0.20,25.00%,20.00%
MINI DONUTS,1,4.55%,1.00,3.40%,0.80,0.20,25.00%,20.00%
MINI DONUTS,1,4.55%,1.00,3.40%,0.00,1.00,100.00%,100.00%
OATMEAL CREAM PIE,1,4.55%,0.50,1.70%,0.38,0.12,31.58%,24.00%
TSTY CINN ROLL,2,9.09%,2.00,6.81%,1.60,0.40,25.00%,20.00%
TSTY CREME CHOC CUP,1,4.55%,1.79,6.09%,1.34,0.45,33.58%,25.14%
TSTY FRNCH APPLE PIE,1,4.55%,1.00,3.40%,0.80,0.20,25.00%,20.00%
TSTY HONEY BUN,2,9.09%,1.00,3.40%,0.80,0.20,25.00%,20.00%
TSTY KANDY KAKE,1,4.55%,1.79,6.09%,1.34,0.45,33.58%,25.14%
TSTY LMN PIE,1,4.55%,1.00,3.40%,0.80,0.20,25.00%,20.00%
TSTY SUAGR WAFERS,1,4.55%,0.75,2.55%,0.00,0.75,100.00%,100.00%
Sub Total,22,100.07%,29.39,1.90%,17.29,12.10,69.98%,41.17%
CANDY,,,,,,,
NOW  LATER,1,100.00%,0.25,100.00%,0.00,0.25,100.00%,100.00%
Sub Total,1,100.00%,0.25,0.02%,0.00,0.25,100.00%,100.00%
CANDY KING,,,,,,,
CARAMELLO KING,1,100.00%,1.87,100.00%,1.09,0.78,71.56%,41.71%
Sub Total,1,100.00%,1.87,0.12%,1.09,0.78,71.56%,41.71%
CANDY KING NEW,,,,,,,
KINDER JOY ,1,100.00%,1.79,100.00%,1.20,0.59,49.17%,32.96%
Sub Total,1,100.00%,1.79,0.12%,1.20,0.59,49.17%,32.96%
CANDY REG ,,,,,,,
DOTS ASST FRUIT GUM DROPS,1,20.00%,1.09,19.16%,0.00,1.09,100.00%,100.00%
HSY COOKIES  CRM,2,40.00%,2.34,41.12%,0.00,2.34,100.00%,100.00%
PETER PAUL MOUNDS 1.90Z,1,20.00%,1.17,20.56%,0.61,0.56,91.80%,47.86%
REESES HEART,1,20.00%,1.09,19.16%,0.00,1.09,100.00%,100.00%
