Store Name: COLONIA CONVENIENCE
Store Address: 498 INMAN AVE
Store Phone: 7328821400
Date,Sales,Cash Added,Subtotal,Total Tax,Taxable Sales,Nontaxable Sales,Discount,Sale Discount,Total Sales (Without Tax),Total Credit Amt,Total Cash Sales,Total EBT Sales,Total Coupons Sales,Total Paid out
11-16-2018,1191.34,0.00,1139.88,51.49,778.81,361.07,0.00,11.88,1139.88,531.74,1657.10,0.00,1.50,6.78
11-17-2018,1204.10,0.00,1150.79,53.32,805.49,345.30,0.00,6.90,1150.79,457.07,1440.03,0.00,0.00,2531.19
11-18-2018,1182.44,0.00,1134.76,47.68,719.86,414.90,0.00,5.96,1134.76,557.55,1095.89,0.00,0.00,132.60
11-19-2018,1093.05,0.00,1049.11,43.96,664.67,384.44,0.00,7.30,1049.11,355.45,1220.08,0.00,0.00,10.17
11-20-2018,936.83,0.00,901.85,35.00,529.47,372.38,0.00,7.30,901.85,345.04,1203.30,0.00,0.00,2978.28
11-21-2018,1414.00,2870.72,1355.22,58.80,888.67,466.55,0.00,12.44,1355.22,539.63,1485.89,0.00,2.00,5279.90
11-22-2018,1088.67,0.00,1047.00,41.69,629.94,417.06,0.00,8.78,1047.00,433.62,1367.04,0.00,0.00,0.00
11-23-2018,1520.16,0.00,1448.78,71.38,1079.25,369.53,0.00,7.25,1448.78,724.00,1651.16,0.00,0.00,0.00
11-24-2018,1191.65,0.00,1138.57,53.08,802.08,336.49,0.00,4.48,1138.57,452.86,1301.79,0.00,0.00,92.14
11-25-2018,1170.37,0.00,1118.56,51.81,782.51,336.05,0.00,8.74,1118.56,425.02,645.35,0.00,0.00,87.40
11-26-2018,1357.46,0.00,1295.80,61.67,931.79,364.01,0.00,5.88,1295.80,547.12,1340.34,0.00,0.00,0.00
11-27-2018,1250.60,0.00,1192.84,57.76,872.42,320.42,0.00,4.13,1192.84,446.32,1255.28,0.00,5.00,750.41
11-28-2018,1211.75,0.00,1154.52,57.24,864.78,289.74,0.00,5.51,1154.52,549.74,1153.01,0.00,2.50,371.60
11-30-2018,1359.96,0.00,1298.59,61.39,927.94,370.65,0.00,11.24,1298.59,584.44,920.52,0.00,0.50,6686.59
12-01-2018,1344.72,0.00,1284.24,60.49,914.10,370.14,0.00,6.92,1284.24,489.92,1527.57,0.00,0.00,712.60
12-02-2018,1143.21,0.00,1094.48,48.74,737.44,357.04,0.00,11.65,1094.48,399.32,1371.89,0.00,0.00,0.00
12-03-2018,1546.62,0.00,1474.12,72.53,1095.38,378.74,0.00,10.24,1474.12,653.41,1165.21,0.00,0.00,0.00
12-04-2018,1172.34,0.00,1121.36,50.99,770.10,351.26,0.00,5.97,1121.36,535.69,1178.15,0.00,0.00,208.40
12-05-2018,1056.01,0.00,1010.51,45.50,687.08,323.43,0.00,3.10,1010.51,490.76,938.75,0.00,0.00,91.64
12-06-2018,1448.37,0.00,1381.17,67.22,1015.20,365.97,0.00,9.32,1381.17,717.14,1508.23,0.00,0.00,0.00
12-07-2018,1325.12,0.00,1264.70,60.42,913.32,351.38,0.00,2.61,1264.70,615.56,1548.06,0.00,0.00,0.00
12-08-2018,1391.59,0.00,1329.02,62.57,945.96,383.06,0.00,9.76,1329.02,655.21,1582.88,0.00,0.00,112.00
12-09-2018,948.74,0.00,906.77,41.97,634.39,272.38,0.00,5.48,906.77,328.19,1537.55,0.00,0.00,0.00
12-10-2018,1163.33,0.00,1118.09,45.26,684.58,433.51,0.00,7.19,1118.09,421.08,1190.25,0.00,0.00,3287.38
12-11-2018,1299.24,0.00,1240.65,58.59,885.69,354.96,0.00,3.05,1240.65,435.68,1537.06,0.00,0.00,3222.86
12-12-2018,1363.90,0.00,1300.79,63.13,953.34,347.45,0.00,8.58,1300.79,553.15,1448.25,0.00,0.00,0.00
12-13-2018,1284.98,0.00,1226.94,58.05,876.87,350.07,0.00,7.04,1226.94,556.58,1271.40,0.00,0.00,327.34
12-14-2018,1236.32,0.00,1179.16,57.17,863.06,316.10,0.00,1.58,1179.16,565.37,1820.45,0.00,0.50,0.00
12-15-2018,1326.72,0.00,1267.57,59.16,894.16,373.41,0.00,4.04,1267.57,402.85,1854.37,0.00,0.00,0.00
Total,36223.59,2870.72,34625.84,1598.06,24148.35,10477.49,0.00,204.32,34625.84,14769.51,39216.85,0.00,12.00,26889.28
