Category,Item,QOH,Cost Value,Total Cost Value,Retail Value,Total Retail Value
BUDWEISER,,,,
BUDWEISER,BUD LIGHT 12 OZ NR LOOSE CASE,8,18.48,147.84,24.59,196.72
BUDWEISER,BUD LIGHT 30 PACK,114,18.30,2086.20,23.49,2677.86
BUDWEISER,BUD ICE  30 PACK,16,17.73,283.68,25.99,415.84
BUDWEISER,BUD LIGHT LIME 2/12 PK NR CASE,1,0.87,0.87,27.99,27.99
BUDWEISER,RED BRIDGE  4/6 PK NR CASE,78,1.30,101.40,39.29,3064.62
BUDWEISER,BUD  16OZ CANS3/8PK CASE,144,0.79,113.76,24.39,3512.16
BUDWEISER,BUD LIGHT PLAT. 16 OZ CAN 6/4 PK CASE,296,0.88,260.48,26.99,7989.04
BUDWEISER,BUD LIGHT LIME 16 OZ CAN 6/4 PK CASE,284,0.88,249.92,26.99,7665.16
BUDWEISER,BUD LIGHT PLATINUM 2/12 PK NR CASE,132,0.87,114.84,27.99,3694.68
BUDWEISER,BUD 12OZ 2/12 PK NR CASE,84,0.82,68.88,26.49,2225.16
BUDWEISER,BUD LIGHT 2/12 PK NR CASE,204,0.81,165.24,26.49,5403.96
BUDWEISER,BUD LIGHT LIME 30 PACK,15,19.11,286.65,24.89,373.35
BUDWEISER,BUD LIGHT 3/8 PK 16 OZ CAN CASE,76,0.73,55.48,24.39,1853.64
BUDWEISER,BUD 12 OZ CAN 18 PACK,14,11.20,156.80,14.99,209.86
BUDWEISER,BUD LIGHT 12 OZ  CAN18 PACK,18,11.32,203.76,14.99,269.82
BUDWEISER,BUD LIGHT 2/12 PK CAN CASE,36,0.77,27.72,23.39,842.04
BUDWEISER,BUD  ALUMINUM 16A3/8 CASE,189,0.81,153.09,26.49,5006.61
BUDWEISER,BUD LIGHT  ALUMINUM  16 OZ 3/8PK CASE,312,0.84,262.08,26.49,8264.88
BUDWEISER,BUD ALUMINUM 2/12 PK NR CASE,24,0.80,19.20,24.99,599.76
BUDWEISER,BUD ALUMINUM 16 OZ 20 PK NR CASE,4,15.54,62.16,19.99,79.96
,Total,2049,,$4820.05,,$54373.11
BUSCH,,,,
BUSCH,BUSCH 30 PACK,52,14.87,773.24,19.99,1039.48
