Item Type,SKU,Item Name,QOH,Selling Price,Unit Per Case,Department,Category,Size
Standard,018200113499,BUD 12OZ NR LOOSE CASE,0,24.59,1,BEER DOMESTIC,BUDWEISER,U16
Standard,018200533495,BUD LIGHT 12 OZ NR LOOSE CASE,8,24.59,1,BEER DOMESTIC,BUDWEISER,U16
Standard,018200530302,BUD LIGHT 30 PACK,114,23.49,1,BEER DOMESTIC,BUDWEISER,U16
Standard,018200370304,BUD ICE  30 PACK,16,25.99,1,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,BLLNRCASE,BUD LIGHT LIME 2/12 PK NR CASE,228,27.99,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,RED66,RED BRIDGE  4/6 PK NR CASE,78,39.29,24,BEER DOMESTIC,BUDWEISER,U16
Standard,018200964275,BUD LIGHT LIME 7 OZ NR,0,20.99,1,BEER DOMESTIC,BUDWEISER,U8
Standard,BLL50,BUD LIGHT LIME 1/2 BARREL,0,136.71,1,BEER DOMESTIC,BUDWEISER,B12
Standard,856257002058,DUQUESNE 30 PACK,0,19.79,1,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,BLP66,NOT AVAIL,168,27.99,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,702770081042,OMISSION LAGER 4/6 PK NR CASE,0,49.69,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,OPA66,OMISSION PALE ALE 4/6 PK 12OZ CASE,0,49.69,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,1146,NOT AVAIL,0,24.39,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,1046,BUD  16OZ CANS3/8PK CASE,144,24.39,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,BLP46,BUD LIGHT PLAT. 16 OZ CAN 6/4 PK CASE,296,26.99,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,BLL46,BUD LIGHT LIME 16 OZ CAN 6/4 PK CASE,284,26.99,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,702770083046,OMISSION IPA  4/6 PK NR CASE,0,49.69,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,018200189920,BUD LIGHT PLATINUM 2/12 PK NR CASE,132,27.99,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,018200007712,BUD 12OZ 2/12 PK NR CASE,84,26.49,24,BEER DOMESTIC,BUDWEISER,U16
Lot Matrix,018200007699,BUD LIGHT 2/12 PK NR CASE,204,26.49,24,BEER DOMESTIC,BUDWEISER,U16
Standard,018200149900,BUD LIGHT LIM 12 OZ NR 12 PACK,-3,14.99,1,BEER DOMESTIC,BUDWEISER,U16
Standard,018200281334,BUD LIGHT LIME 30 PACK,15,24.89,1,BEER DOMESTIC,BUDWEISER,U16
