Department,Supplier,Item,QOH,Cost,Price,Shelf,Shelving,Aisle
BEER DOMESTIC,,,,,
BEER DOMESTIC,ALL STAR DIST,LITE NR 12 PACK,22,10.08,13.69,,,
BEER DOMESTIC,SERENA KIRCHNERS,21ST AMENDMENT SNEAK ATTACK,0,26.35,37.19,,,
BEER DOMESTIC,General,LITE NR 12 PACK,25,10.04,13.69,,,
General,,,,,
General,General,NOT AVAL,0,13.20,17.69,,,
General,ALL STAR DIST,NOT AVAL,0,13.69,17.69,,,
General,ALL STAR DIST,NOT AVAL,0,13.55,17.69,,,
General,General,NOT AVAL,0,7.78,6.92,,,
General,ALL STAR DIST,MAGNER 12 PACK,0,33.60,24.69,,,
General,ALL STAR DIST,NOT AVAL,0,11.98,18.19,,,
General,ACE DISTRIBUTORS,NOT AVAL,0,14.40,20.99,,,
General,ALL STAR DIST,NOT AVAL,0,13.58,19.99,,,
General,ALL STAR DIST,NOT YOUR FATHERS NR 12 PK,8,25.35,26.39,,,
General,WILSBACH DISTRIBUTORS,PENN CHOC 12 PK,3,36.25,24.99,,,
BEER IMPORT,,,,,
BEER IMPORT,ALL STAR DIST,LABATTS BLUE 12OZ NR 12 PK,4,22.63,17.19,,,
BEER IMPORT,General,SMITHWICKS 12OZ NR 12 PK,10,13.60,20.69,,,
MALT BEVERAGE,,,,,
MALT BEVERAGE,ALL STAR DIST,MIKES LEM12 OZCANS 12 PK,6,25.45,18.99,,,
MICRO BREW,,,,,
MICRO BREW,General,HOPBOT IPA CASE,240,5.04,35.49,,,
MICRO BREW,ALL STAR DIST,MAGIC HAT DREAM MACHIN NR 12 P,1,27.10,20.00,,,
MICRO BREW,ALL STAR DIST,SPRING HOUSE BG GRUSO 4/6 PK CAN CASE,-12,1.70,39.99,,,
MICRO BREW,SERENA KIRCHNERS,HARPOON FRESH TRACKS 12 PK DISC,2,23.96,20.99,,,
MICRO BREW,WILSBACH DISTRIBUTORS,TROEGS DREAMWEAVER2/12 PK NR CASE,60,1.19,27.49,,,
MICRO BREW,ACE DISTRIBUTORS,YARDS PHILLY PALE ALE 12 PK,0,85.35,20.99,,,
MICRO BREW,ACE DISTRIBUTORS,NEW BELG GLUTINY PALE ALE 4/6 PK CASE,0,1.32,21.99,,,
MICRO BREW,STOCKERTOWN BEVERAGE,ATWATER DEC DARK CHOC.4/6 PK NR CASE,6,4.50,24.99,,,
MICRO BREW,STOCKERTOWN BEVERAGE,RIVERTOWNE VARIETY CAN CASE,48,1.13,17.99,,,
MICRO BREW,STOCKERTOWN BEVERAGE,BRECKENRIDGE  VARIETY 12 PKNR,-12,31.50,22.89,,,
MICRO BREW,SERENA KIRCHNERS,SAM SMITH  OATMEAL STOUT 550 ML BOTTLE CASE,0,3.17,38.99,,,
MICRO BREW,ALL STAR DIST,REDDS STRAWBERRY KIWI 16 OZ CAN,72,1.04,0.00,,,
MICRO BREW,General,HOPBOT IPA CASE Clone 1,0,5.04,35.49,,,
MICRO BREW,General,HOPBOT IPA CASE Clone 2,0,5.04,35.99,,,
NON TAXABLE MISC,,,,,
NON TAXABLE MISC,HLA,MATCHES PACK,0,0.85,0.50,,,
NONSALE,,,,,
NONSALE,General,FUEL CHARGE,45,4.13,0.00,,,
TOBACCO,,,,,
TOBACCO,HLA,KODIAC WINTERGREEN ,-2,19.70,4.49,,,
SOUR BEERS,,,,,
SOUR BEERS,ACE DISTRIBUTORS,PRIDE ANTIFREEZE 50/50 PR,0,5.25,5.79,,,
Test Dep,,,,,
Test Dep,General,Testing Item,320,0.24,0.51,,,
Test Dep,General,Testing Item clone 1,0,2.97,2.99,,,
VDEPARTMENTNAME,,,,,
VDEPARTMENTNAME,General,TRIDENT VAL/PK MINT BLISS,0,0.72,1.49,,,
VDEPARTMENTNAME,General,DENTYNE ICE PEPPERMINT 9C,0,0.79,1.49,,,
VDEPARTMENTNAME,General,DENTYNE ICE ARCTIC CHILL ,0,0.79,1.49,,,
VDEPARTMENTNAME,General,REESES PNT BUTTER CUP 36C,0,0.57,1.09,,,
VDEPARTMENTNAME,General,TRIDENT VAL/PK MINT BLISS,0,0.72,1.49,,,
VDEPARTMENTNAME,General,DENTYNE ICE PEPPERMINT 9C,0,0.79,1.49,,,
VDEPARTMENTNAME,General,DENTYNE ICE ARCTIC CHILL ,0,0.79,1.49,,,
VDEPARTMENTNAME,General,REESES PNT BUTTER CUP 36C,0,0.57,1.09,,,
,,Total,846,$527.47,$705.35,,,
